"","comicName","comicSummary","comicGrade"
"419","굥이의 하루","굥가족.. 귀농하다","9.67"
"420","그대 손에 물든 초록","세 명의 워맨스","9.58"
"421","신혼좀비","좀비 패밀리","9.88"
"422","이슬톡톡","이슬이가 7명?!","9.52"
"423","귀신갑사","원귀 퇴치부대","9.65"
"424","만유인력의 법칙","1960에서살아남기","9.84"
"425","루텔","력家네 일상 이야기","9.89"
"426","능력안경","안경장르 만화","9.90"
"427","집에가고싶다","집곰팡이의 일상","9.90"
"428","법치국가法治國家","법을 마법으로 쓴다","9.47"
"429","연애일기","소소한 연애 일상","9.90"
"430","하나리즈","레즈비언 커플이야기","9.00"
"431","연애 의학","대학병원 로맨스","9.11"
"432","데드 존 피플","빛을 쫒는 아이들","9.76"
"433","눈을 떴을 때","이세계 액션 판타지","8.90"
"434","오늘부터 G.A.B님과 함께 살게 되었습니다","이 보안만화,웃기다","8.38"
"435","끽 단편선","끽연 단편집","9.11"
"436","내가 누구냐 묻거든","내 몸 돌려줘","8.26"
"437","재테크는 스크루지","초보자용 재테크웹툰","9.70"
"438","영주","영주 이야기","9.72"
"439","서툴고 어리숙해도 좋아하는","내가 걜 죽였다고?","9.88"
"440","[BL] HOLY JUNK","두 사람의 삶","9.58"
"441","바프일기","바디프로필 도전일지","9.72"
"442","나는 딸이다","괴물엄마와 인간 딸","9.79"
"443","오늘 또 후회","후회하면 뭐 어때!","9.48"
"444","정떨어지는로맨스","감정을잃어가는사람들","8.06"
"445","soso한 보통의","보통의 일상들","9.83"
"446","엑스트라 Z씨","Z씨의 발버둥","9.90"
"447","연하남에게 고백 받기까지 앞으로 30화","연재 협의 중","8.62"
"448","에스테리아","작은 별의 주인","9.85"
"449","인류 선별 부서","기어오르는 소녀","9.30"
"450","귀신잡는 해병대","헤이빠빠리빠","8.94"
"451","슬기로운 재수생활","재수생활 염탐하기","9.80"
"452","죽어도 좋아해요","유령여중생연애","9.43"
"453","마루하루","11살 강아지 마루","9.81"
"454","후르츠렌즈!","과일들중인연찾기!","9.79"
"455","눈사람사람","사람이 되고 싶어?","9.28"
"456","하나의 시간","특이한 고양이 하나","9.77"
